question_id;question;gold_source_filename;gold_pages;gold_source_match_found;cited_pages_gold_doc;page_hit;model_answer;manual_error_type;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_beg_003;С какой целью растения производят эфирные масла?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;18;True;11;False;Эфирные масла растений производятся для защиты от негативного воздействия окружающей среды. Они также помогают успокаивать тело и даже разум. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_mid_001;Из какого количества атомов углерода состоит структура монотерпенов?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;31;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_mid_002;Что такое функциональные группы в контексте химии эфирных масел?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;34;True;18,26;False;Функциональные группы в контексте химии эфирных масел представляют собой атомы или группы атомов, которые определяют основные свойства и реакции молекул эфирных масел. В эфирных маслах встречаются восемь основных функциональных групп: спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1] Например, в анетоле (основном компоненте масла фенхеля) можно найти как спиртовую группу, так и группу фенилпропена. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_mid_003;Какие восемь основных функциональных групп встречаются в эфирных маслах?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;35;True;18;False;В эфирных маслах встречаются восемь основных функциональных групп: спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_end_001;Какое процентное содержание линалилацетата характерно для эфирного масла бергамота?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;61;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_end_002;Какое процентное содержание коричного альдегида указано для масла кассии?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;67;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_end_003;На какие системы организма воздействует эфирное масло корицы (Cinnamon Bark)?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;70;True;33;False;Эфирное масло корицы (Cinnamomum zeylanicum) воздействует на эндокринную и иммунную системы организма. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_beg_001;Какое искусство лечения определяется в книге как использование ароматов растений?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;20;True;136,173,315;False;Ароматерапия определяется в книге как использование ароматов растений.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_beg_002;Какое вещество является главным химическим элементом эфирного масла?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;39;True;17;False;Главным химическим элементом эфирного масла является его основной компонент. Его содержание характеризует качество эфирного масла. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_beg_003;В какой период жизни растения в нем образуется наибольшее количество эфирных масел?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;30;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_mid_001;Какой компонент является основным (60—80 %) в составе эфирного масла кориандра посевного?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;127;False;;False;Основным компонентом в составе эфирного масла кориандра посевного является эвгенол. [1] Он составляет 15–25 % от общего объема масла и обладает антиоксидантными свойствами, поддерживает здоровье клеток и сердечно-сосудистой системы. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_mid_002;Как влияет эфирное масло мяты перечной на артериальное давление у больных гипертонической болезнью?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;175;True;100;False;В источниках нет прямого упоминания о влиянии эфирного масла мяты перечной на артериальное давление у больных гипертонической болезнью. [1] Однако, согласно, это масло может вызывать реакцию на ментол, что может быть важно при лечении гипертонии. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_mid_003;Из каких частей растения получают эфирное масло нероли?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;180;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_end_001;Какая система мозга является ключевой в механизме действия ароматов эфирных масел на человека?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;281;False;;False;Ключевую роль в механизме действия ароматов эфирных масел на человека играет нервная система. Эфирные масла проникают в мозг и взаимодействуют с нейромедиаторами, что влияет на различные процессы в организме. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_end_002;Какая концентрация ароматов в воздухе помещения рекомендуется для взрослых при проведении ароматерапии?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;305;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nik_end_003;Что такое липосома в контексте перспективных методов ароматерапии?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;333;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
