question_id;question;gold_source_filename;gold_pages;gold_source_match_found;cited_pages_gold_doc;page_hit;model_answer;manual_error_type
hill_mid_002;Что такое функциональные группы в контексте химии эфирных масел?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;34;True;10,17,18;False;Функциональные группы в контексте химии эфирных масел представляют собой определенные атомы или группы атомов, имеющие характерные свойства и влияющие на химические реакции молекул. [1] В эфирных маслах встречаются восемь основных функциональных групп: спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [2] Эти группы определяют химические свойства компонентов масел и их применение в различных ситуациях. [3];
hill_mid_003;Какие восемь основных функциональных групп встречаются в эфирных маслах?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;35;True;18;False;В эфирных маслах встречаются восемь основных функциональных групп: спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1];
hill_end_001;Какое процентное содержание линалилацетата характерно для эфирного масла бергамота?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;61;False;;False;В источниках нет ответа.;
hill_end_002;Какое процентное содержание коричного альдегида указано для масла кассии?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;67;False;;False;В источниках нет ответа.;
hill_end_003;На какие системы организма воздействует эфирное масло корицы (Cinnamon Bark)?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;70;True;33;False;Эфирное масло корицы (Cinnamomum zeylanicum) поддерживает обмен веществ, иммунитет и может влиять на пищеварительную систему. Также оно оказывает успокаивающее и смаживающее действие на кожу, а также улучшает состояние волос и кожи головы. [1];
nik_beg_001;Какое искусство лечения определяется в книге как использование ароматов растений?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;20;True;173;False;Ароматерапия определяется в книге как использование ароматов растений для лечения различных состояний. [1];
nik_beg_002;Какое вещество является главным химическим элементом эфирного масла?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;39;True;17;False;Главным химическим элементом эфирного масла является его основной компонент. [1] В зависимости от вида растения, этот компонент может различаться.;
nik_beg_003;В какой период жизни растения в нем образуется наибольшее количество эфирных масел?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;30;False;;False;В источниках нет ответа.;
nik_mid_001;Какой компонент является основным (60—80 %) в составе эфирного масла кориандра посевного?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;127;False;;False;Основным компонентом в составе эфирного масла кориандра посевного является эвгенол, который составляет 60–80 %. [1];
nik_mid_002;Как влияет эфирное масло мяты перечной на артериальное давление у больных гипертонической болезнью?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;175;False;;False;В источниках нет ответа.;
nik_mid_003;Из каких частей растения получают эфирное масло нероли?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;180;False;;False;Эфирное масло нероли получают из цветков апельсина португальского. [1];
nik_end_001;Какая система мозга является ключевой в механизме действия ароматов эфирных масел на человека?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;281;False;;False;Ключевую роль в механизме действия ароматов эфирных масел на человека играет нервная система. [1] Эфирные масла проникают в мозг и взаимодействуют с нейромедиаторами, что влияет на различные функции организма. [2];
nik_end_002;Какая концентрация ароматов в воздухе помещения рекомендуется для взрослых при проведении ароматерапии?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;305;True;99;False;Для взрослых при проведении ароматерапии в воздухе помещения рекомендуется концентрация ароматов 1 мг/м3. [1];
nik_end_003;Что такое липосома в контексте перспективных методов ароматерапии?;Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf;333;False;;False;В источниках нет ответа.;
