"question_id","question","gold_source_filename","gold_pages_prim_ref","gold_pages_alt_ref","gold_source_match_found","gold_source_cited_pages","page_hit","model_answer","manual_error_type"
"hill_beg_002","Какие три основных способа получения эфирных масел перечислены в книгах?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","12,13","11,12,18","False","","False","В источниках нет ответа.",""
"hill_beg_003","Почему эфирные масла называются «эфирными» по книге Хилла?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","11","","False","","False","В источниках нет ответа.",""
"hill_mid_001","Сколько основных групп встречаются в эфирных маслах ?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","18","","False","","False","В источниках нет ответа.",""
"hill_mid_002","Какие 8 основных групп встречаются в эфирных маслах?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","18","","True","18","True","8 основных групп, встречающихся в эфирных маслах, это спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1]",""
"hill_mid_003","Сколько атомов углерода содержится в структуре монотерпенов и сесквитерпенов?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","16","","False","","False","В источниках нет ответа.",""
"hill_end_001","Сколько процентов коричного альдегида содержит кассия?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","56","","False","","False","В источниках нет ответа.",""
"hill_end_002","Какие системы организма, согласно книге Хилла, поддерживает коричный альдегид?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","56","","False","","False","В источниках нет ответа.",""
"hill_end_003","Какой pH метилсалицилата указан в книге Хилла?","","","","False","","False","В источниках нет ответа.",""
"nik_beg_001","Какой химический элемент назван главным элементом эфирного масла?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","13","","False","","False","В источниках нет ответа.",""
"nik_beg_002","Каким методом предлагают определять состав или натуральность эфирного масла?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","16","23","False","","False","В источниках нет ответа.",""
"nik_beg_003","Какая концентрация ароматов в воздухе помещения рекомендуется для взрослых?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","99","","False","","False","В источниках нет ответа.",""
"nik_mid_001","Можно ли использовать растительные ароматы для санации воздуха помещений и профилактики инфекции?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","161","167","True","136,137","False","Да, можно использовать растительные ароматы для санации воздуха помещений и профилактики инфекции. Ароматические вещества помогают уничтожать микробную обсемененность воздуха и повышают общее самочувствие человека. [1] Например, монарда, базилик, лаванда и другие растения эффективны для профилактики ОРЗ и гриппа. [2]",""
"nik_mid_002","Можно ли использовать растительные ароматы как антистрессоры?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","206","109,110","False","","False","В источниках нет ответа.",""
"nik_mid_003","Как влияет мята на кровяное давление у больных гипертонической болезнью?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","178","","False","","False","В источниках нет ответа.",""
"nik_end_001","Какая система названа ключевой в действии растительных ароматических веществ?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","328","91","False","","False","В источниках нет ответа.",""
"nik_end_002","Как дефицит растительных ароматических веществ влияет на гомеостаз?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","333","","True","316,317","False","Дефицит растительных ароматических веществ (РАВ) в воздухе может негативно влиять на гомеостаз человека. [1] Например, при отсутствии РАВ, содержащихся в воздухе, появляются жалобы на слабость, головную боль и снижение работоспособности. [2] В то же время, наличие РАВ в атмосфере способствует улучшению самочувствия и функционального состояния организма, повышая его резистентность к различным воздействиям. [3]",""
"nik_end_003","Какой стандарт ISO для эфирного масла нероли ?","","","","False","","False","В источниках нет ответа.",""
