"question_id","question","gold_source_filename","gold_pages_prim_ref","gold_pages_alt_ref","gold_source_match_found","gold_source_cited_pages","page_hit","model_answer","manual_error_type"
"hill_beg_002","Какие три основных способа получения эфирных масел перечислены в книгах?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","12,13","11,12,18","True","11","False","Три основных способа получения эфирных масел, перечисленные в книгах, включают паровую дистилляцию, холодный отжим и экстракцию растворителем. [1]",""
"hill_beg_003","Почему эфирные масла называются «эфирными» по книге Хилла?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","11","","True","2,11","True","Эфирные масла называются «эфирными», потому что они являются «сущностью» растения. [1] В Средние века считалось, что эфирные масла необходимы для жизни. Современная наука определяет их как эссенцию или экстракт, который определяет аромат и вкус растения. [2]",""
"hill_mid_001","Сколько основных групп встречаются в эфирных маслах ?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","18","","True","18","True","По информации из источника, в эфирных маслах встречаются 8 основных групп функциональных групп. К ним относятся спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1]",""
"hill_mid_002","Какие 8 основных групп встречаются в эфирных маслах?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","18","","True","18","True","8 основных групп функциональных групп, встречающихся в эфирных маслах, это спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1]",""
"hill_mid_003","Сколько атомов углерода содержится в структуре монотерпенов и сесквитерпенов?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","16","","True","16","True","В структуре сесквитерпенов содержится 15 атомов углерода. Монотерпены не упоминаются в данном источнике относительно количества атомов углерода, поэтому точное количество для них не указано. [1]",""
"hill_end_001","Сколько процентов коричного альдегида содержит кассия?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","56","","True","32","False","Содержание коричного альдегида в кассии составляет 75–97 %. [1]",""
"hill_end_002","Какие системы организма, согласно книге Хилла, поддерживает коричный альдегид?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","56","","True","56","True","Согласно книге Дэвида К. Хилла, коричный альдегид поддерживает функционирование пищеварительной, нервной и сердечно-сосудистой систем. [1]",""
"hill_end_003","Какой pH метилсалицилата указан в книге Хилла?","","","","False","","False","В источниках нет ответа.",""
"nik_beg_001","Какой химический элемент назван главным элементом эфирного масла?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","13","","True","13","True","Кислород является главным элементом эфирного масла. [1]",""
"nik_beg_002","Каким методом предлагают определять состав или натуральность эфирного масла?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","16","23","True","23","True","Поставщики эфирных масел проверяют их состав и качество, анализируя уникальные «биохимические профиля» каждого масла. Эти профили определяются наличием различных соединений в масле, что позволяет точно установить его состав. [1]",""
"nik_beg_003","Какая концентрация ароматов в воздухе помещения рекомендуется для взрослых?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","99","","True","99","True","Для взрослых рекомендуемая концентрация ароматов в воздухе помещения составляет 1 мг/м³. [1]",""
"nik_mid_001","Можно ли использовать растительные ароматы для санации воздуха помещений и профилактики инфекции?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","161","167","True","137,161","True","Да, можно использовать растительные ароматы для санации воздуха помещений и профилактики инфекции. [1] Ароматические вещества эфирных масел не только уничтожают микробную обсемененность воздуха, но и повышают общее самочувствие человека. [2] Например, монарда, мята, лаванда и другие растения эффективно обеззараживают воздух. Ароматизация помещения ароматическими веществами может снижать микробную загрязненность на 3-4 раза и сохранять эффект в течение суток. [1]",""
"nik_mid_002","Можно ли использовать растительные ароматы как антистрессоры?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","206","109,110","True","104","False","Да, можно использовать растительные ароматы как антистрессоры. Они оказывают мягкое биорегулирующее действие и не вызывают токсических проявлений при длительном использовании. [1]",""
"nik_mid_003","Как влияет мята на кровяное давление у больных гипертонической болезнью?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","178","","True","57","False","Мята может снижать кровяное давление у больных гипертонической болезнью. Она положительно влияет на функции обоих отделов вегетативной нервной системы и уравновешивает их работу, что может способствовать нормализации артериального давления. [1]",""
"nik_end_001","Какая система названа ключевой в действии растительных ароматических веществ?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","328","91","True","328","True","Ключевой системой в действии растительных ароматических веществ является лимбическая система, включающая гиппокамп, гипоталамус, миндалевидное ядро и другие образования. [1]",""
"nik_end_002","Как дефицит растительных ароматических веществ влияет на гомеостаз?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","333","","False","","False","В источниках нет ответа.",""
"nik_end_003","Какой стандарт ISO для эфирного масла нероли ?","","","","False","","False","В источниках нет ответа.",""
