"question_id","question","gold_source_filename","gold_pages_prim_ref","gold_pages_alt_ref","gold_source_match_found","gold_source_cited_pages","page_hit","model_answer","manual_error_type"
"hill_beg_002","Какие три основных способа получения эфирных масел перечислены в книгах?","","","","","","","В источниках нет ответа.",""
"hill_beg_003","Почему эфирные масла называются «эфирными» по книге Хилла?","","","","","","","Эфирные масла называются «эфирными», потому что они считаются «сущностью» растения по мнению Средневековья. Современная наука определяет эфирные масла как экстракты, определяющие аромат и вкус растения. [1]",""
"hill_mid_001","Сколько основных групп встречаются в эфирных маслах ?","","","","","","","По информации в источниках и, основные группы компонентов эфирных масел включают монотерпениды, сесквитерпены и другие функциональные группы. В целом, можно утверждать, что основными группами являются монотерпениды, сесквитерпены и терпеновые сложные эфиры. [1]",""
"hill_mid_002","Какие 8 основных групп встречаются в эфирных маслах?","","","","","","","8 основных групп функциональных групп, встречающихся в эфирных маслах, это спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1]",""
"hill_mid_003","Сколько атомов углерода содержится в структуре монотерпенов и сесквитерпенов?","","","","","","","В источниках содержится информация о том, что изопреновые единицы, из которых синтезируются монотерпены и сесквитерпены, имеют пять атомов углерода. Таким образом, можно предположить, что монотерпены содержат 10 атомов углерода, а сесквитерпены — 15 атомов углерода. [1]",""
"hill_end_001","Сколько процентов коричного альдегида содержит кассия?","","","","","","","В источниках нет ответа.",""
"hill_end_002","Какие системы организма, согласно книге Хилла, поддерживает коричный альдегид?","","","","","","","В источниках нет ответа.",""
"hill_end_003","Какой pH метилсалицилата указан в книге Хилла?","","","","","","","В источниках нет ответа.",""
"nik_beg_001","Какой химический элемент назван главным элементом эфирного масла?","","","","","","","В источниках нет ответа.",""
"nik_beg_002","Каким методом предлагают определять состав или натуральность эфирного масла?","","","","","","","В источниках нет специального метода определения состава или натуральности эфирного масла. [1] Вместо этого описывается применение и безопасное использование эфирных масел. [2] Например, для внутреннего применения рекомендуется капать масло на нейтральную таблетку или в специальный раствор. [3]",""
"nik_beg_003","Какая концентрация ароматов в воздухе помещения рекомендуется для взрослых?","","","","","","","В источниках нет ответа.",""
"nik_mid_001","Можно ли использовать растительные ароматы для санации воздуха помещений и профилактики инфекции?","","","","","","","Да, можно использовать растительные ароматы для санации воздуха помещений и профилактики инфекции. Ароматические вещества не только уничтожают микробную обсемененность воздуха, но и повышают общее самочувствие человека. Это эффективный метод профилактики инфекций в воздушной среде. [1]",""
"nik_mid_002","Можно ли использовать растительные ароматы как антистрессоры?","","","","","","","Да, можно использовать растительные ароматы как антистрессоры. Эти вещества обладают способностью проходить через кожу и воздействовать на биологически активные точки, что помогает улучшить общее состояние организма и снизить уровень стресса. [1]",""
"nik_mid_003","Как влияет мята на кровяное давление у больных гипертонической болезнью?","","","","","","","В источниках нет ответа.",""
"nik_end_001","Какая система названа ключевой в действии растительных ароматических веществ?","","","","","","","В источниках нет ответа.",""
"nik_end_002","Как дефицит растительных ароматических веществ влияет на гомеостаз?","","","","","","","Дефицит растительных ароматических веществ может снижать иммунитет организма, что влияет на гомеостаз. [1] Аромапрофилактика с помощью эфирных масел, таких как пихты, сосны и ели, повышает общий уровень резистентности организма и иммунологическую реактивность, помогая предотвратить инфекции. [2]",""
"nik_end_003","Какой стандарт ISO для эфирного масла нероли ?","","","","","","","В источниках нет ответа.",""
