"question_id","question","gold_source_filename","gold_pages_prim_ref","gold_pages_alt_ref","gold_source_match_found","gold_source_cited_pages","page_hit","model_answer","manual_error_type"
"hill_mid_002","Какие 8 основных групп встречаются в эфирных маслах?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","18","","True","18","True","8 основных групп функциональных групп, встречающихся в эфирных маслах, это спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1]",""
"hill_mid_003","Сколько атомов углерода содержится в структуре монотерпенов и сесквитерпенов?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","16","","True","16","True","В структуре сесквитерпенов содержится 15 атомов углерода. Монотерпены не упоминаются в отношении количества атомов углерода в данном источнике. [1]",""
"hill_end_001","Сколько процентов коричного альдегида содержит кассия?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","56","","True","32","False","Содержание коричного альдегида в кассии составляет 75–97 %. [1]",""
"hill_end_002","Какие системы организма, согласно книге Хилла, поддерживает коричный альдегид?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","56","","True","56","True","Согласно книге Дэвида К. Хилла, коричный альдегид поддерживает функционирование пищеварительной, нервной и сердечно-сосудистой систем. [1]",""
"hill_end_003","Какой pH метилсалицилата указан в книге Хилла?","","","","False","","False","В источниках нет ответа.",""
"nik_beg_001","Какой химический элемент назван главным элементом эфирного масла?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","13","","True","13","True","Главный элемент эфирного масла, согласно источнику, это кислород. [1]",""
"nik_beg_002","Каким методом предлагают определять состав или натуральность эфирного масла?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","16","23","True","23","True","В источниках нет метода определения состава или натуральности эфирного масла. [1]",""
"nik_beg_003","Какая концентрация ароматов в воздухе помещения рекомендуется для взрослых?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","99","","True","99","True","Для взрослых рекомендуемая концентрация ароматов в воздухе помещения составляет 1 мг/м³. [1]",""
"nik_mid_001","Можно ли использовать растительные ароматы для санации воздуха помещений и профилактики инфекции?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","161","167","True","137,161","True","Да, можно использовать растительные ароматы для санации воздуха помещений и профилактики инфекции. [1] Ароматические вещества эффективно уничтожают микробную обсемененность воздуха, снижают содержание вирусов и микоплазм, а также положительно влияют на общее самочувствие человека. [2]",""
"nik_mid_002","Можно ли использовать растительные ароматы как антистрессоры?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","206","109,110","True","104","False","Да, можно использовать растительные ароматы как антистрессоры. В источниках отмечается, что для снижения стресса рекомендуются ароматы лаванды, жасмина, мяты и других растений. [1]",""
"nik_mid_003","Как влияет мята на кровяное давление у больных гипертонической болезнью?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","178","","True","57,178","True","Мята положительно влияет на кровяное давление у больных гипертонической болезнью, снижая его. [1] Это связано с улучшением питания сердечной мышцы и снабжения миокарда кислородом и глюкозой. [2]",""
"nik_end_001","Какая система названа ключевой в действии растительных ароматических веществ?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","328","91","True","91,328","True","Ключевой системой в действии растительных ароматических веществ является лимбическая система. [1] Эта система включает структуры такие как гиппокамп, гипоталамус и миндалевидное ядро. [2]",""
"nik_end_002","Как дефицит растительных ароматических веществ влияет на гомеостаз?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","333","","False","","False","В источниках нет ответа.",""
"nik_end_003","Какой стандарт ISO для эфирного масла нероли ?","","","","False","","False","В источниках нет ответа.",""
